Model,MAE,RMSE,R2 Score
Gradient Boosting,2.21518651398694,3.065802383805033,0.8854350024105034
Random Forest,2.196552669384585,3.2493812064831937,0.8710469836198417
Ridge Regression,3.3832285572750687,4.842630554742543,0.7152406583660498
Linear Regression,3.3884604722758547,4.842789010984498,0.7152218388256883
Lasso Regression,3.3673371401776615,4.894018239777184,0.7089885063401624
Decision Tree,3.1896544360318386,4.930237722245283,0.6996810861300666
